"x","y","a","l","v","k","f","mx"
-80.16944,-5.101667,1.92673680357858,0.0305241173886725,0.884195275018856,0.0587945384955542,0.180708507785095,4.09746294639043
-78.4848,-7.166611,2.67479593058006,0.0358159426230296,1.42047671395567,0.0778051228855314,0.0982405152677955,1.82511829208874
-76.32194,-6.593056,4.70810176061419,0.024675068906096,1.52512514312197,0.0611366783759797,0.0854,9.12017333167035
-78.33889,-7.203333,2.19242543835232,0.0409331794770182,1.40752996102411,0.0835663534287947,0.115226856814678,1.67860901342975
-78.23722,-7.220278,2.27884110382478,0.0367274252055254,1.34024775825939,0.0853349198866636,0.102036980832085,1.92644091436665
-79.21639,-6.825556,2.06293005845341,0.0302142534126585,1.01953487423595,0.0669222691375762,0.336991188854437,3.01679194963362
-78.83028,-7.355833,1.93053946891588,0.0369351473987735,1.45843096796973,0.0668363713173086,0.104155184448867,1.58740640836874
-78.62667,-7.033889,2.53193623155625,0.0458108003608828,1.77864512212201,0.0707712710506516,0.0982397580569105,2.53680767446441
-78.61694,-6.766944,2.49921312796187,0.0373803944935766,1.63937006765522,0.0871794572651636,0.0982398212018313,1.69462101570496
-78.11833,-6.864167,2.0664610777476,0.0331024977623664,1.21823471549346,0.0696823386661708,0.0982397580569105,1.82511834675207
-78.05056,-7.626944,2.42323187737075,0.0383882206563317,1.69698186541987,0.0724939492437988,0.0854,1.67860837699902
-78.05083,-7.830278,2.66844590084022,0.0470071689949482,1.66687783055286,0.0727832987999964,0.0854000026153504,1.79162966043937
-77.16694,-6.046667,3.73073018750283,0.0353806182383277,0.9884972019269,0.0836584352795035,0.0854,7.67869685986316
-78.83028,-6.999722,2.36504276132007,0.0417943153054382,1.36578301239866,0.0876945772394538,0.0982397580569105,2.18869785269194
-78.38944,-7.237222,2.4331984023837,0.0377222523790126,1.40753011433218,0.0755379105731845,0.109377769769622,1.73473267538765
-78.66056,-7.254167,2.45686262377284,0.0325157192075079,1.42047671395567,0.0815167067990591,0.140971364168898,1.82511830156274
-79.15322,-7.225028,3.00206869344508,0.0295119250860271,0.904680751520418,0.0567436945810914,2.12698375349864,2.85795831402708
-77.52486,-9.516528,2.7037779335107,0.0430622933126042,1.81400765281985,0.0781430090407791,0.0854055382890644,1.57147806018835
-77.45403,-9.729472,2.61360276733346,0.0431203723986313,1.40633798691653,0.0842676698670433,0.0854026525548932,1.63537318840235
-77.17553,-9.586333,2.86038950701067,0.0416749511174259,1.47677354009666,0.0688082299616888,0.085400061583478,1.60946186357425
-75.22111,-12.004444,4.73172536545281,0.0541475966794173,1.60145326349283,0.0838663303479552,0.0854,3.31631651201048
-75.4794,-11.7831,5.63902725280352,0.0505392216839047,1.63615251763096,0.0736558112603908,0.0890790071892453,3.08743565139665
-74.86611,-12.393056,4.40277886839857,0.0468027644183296,1.59152538660838,0.0608893839063749,0.0998277926987845,2.91344155505307
-76.98975,-10.477858,2.31374459704173,0.0470876399670816,1.7257150406513,0.0727039110304486,0.0854,1.15410690823823
-76.76694,-10.666944,2.66344178458024,0.0478436527926629,1.15590865706816,0.0712297044032942,0.0856860380168155,1.677998959996
-76.73361,-10.916944,2.53940908989332,0.042698927646443,1.30321821789121,0.0793598642584644,0.0854,1.36937948073704
-76.61694,-11.466944,2.51383689037536,0.0376870163671201,1.68670863600293,0.0817822697098975,0.0854410478765794,1.13651286768832
-76.37828,-11.839389,2.330634864776,0.0363883764876139,1.32646765318714,0.0848996235535067,0.119657519625849,1.19548459946555
-75.69028,-11.396944,4.36811800743808,0.0509266912675426,1.53753437016844,0.0618586247017681,0.0855566185542123,2.13320198252962
-75.1292,-11.7486,5.24780115980381,0.0771082695620422,1.60145326349283,0.0802808596100658,0.0996765164767711,3.31631651201043
-76.25417,-10.694444,2.80334832435702,0.0613449810687619,1.30694224685532,0.0686488547464765,0.0854566775385385,1.72135989331073
-71.87528,-13.556944,4.71216033760872,0.0474908101486661,1.70224699350144,0.0829802821204066,0.130912532489245,4.24039425410141
-76.23361,-12.133611,2.15252116345601,0.0455003675469632,1.44298074251574,0.0840991386369638,0.0854,1.24467354477498
-75.33889,-12.033611,4.71734804199146,0.058656308569618,1.43258307789303,0.0873761913180351,0.0996765163501177,3.31631651201043
-75.91061,-12.492056,2.07604495462754,0.0363883409080632,1.77306836770045,0.0649374104101768,0.110122148055589,1.00000004902004
-74.53594,-12.555667,3.56629440215291,0.0647901291556611,1.93238527842197,0.0580382947001114,0.0854603765148552,2.6921937472938
-74.0705,-13.7504,3.04225220576459,0.0487826451741673,1.60355299881397,0.0765935472212732,0.0854,2.467651224699
-72.54583,-13.166944,2.98874749334228,0.128410618027149,0.25373622293518,0.0721737762913108,0.0854001580183948,10.0836767985619
-72.12524,-13.303589,2.53113490745343,0.0609583528830892,0.476727134365466,0.0569508014570927,0.0854000868227142,3.15247904559052
-72.21583,-13.468333,3.31196773910037,0.0641737942022628,1.53572635811148,0.0705759758060245,0.119685983432551,3.34808575922359
-71.84472,-13.7675,4.1211292738249,0.0485525799455439,2.1084092394789,0.0845176650062103,0.130912534798983,3.29346195063942
-71.68361,-13.916944,4.51808250280087,0.0528390828294598,1.75122054883684,0.06906747976318,0.110695222861181,4.0303302338373
-71.59056,-13.324444,8.18029860065136,0.0521334392460134,2.10616137925535,0.0573713352158666,0.119685983432551,6.19001657700462
-71.56028,-13.61,6.11027332636194,0.0468722363112992,1.87718928195536,0.0752514347713441,0.130912548017131,5.28414282734859
