"x","y","a","l","v","k","f","mx"
-80.16944,-5.101667,2.10159658017878,0.0413050633525282,0.63205181625998,0.0626329356532522,1.09545851967666,6.87861109845215
-78.4848,-7.166611,2.83583937121814,0.0413292073945869,1.20501799279466,0.055551758594811,0.990851256751043,3.11585792516052
-76.32194,-6.593056,5.98413641717016,0.0426839867530072,1.3682710619906,0.0525366055965424,0.0980191879881874,9.6378535307227
-78.33889,-7.203333,2.45548189015094,0.0578691293034322,1.00097918343094,0.0540087966585538,0.928912729398104,3.11501290869353
-78.23722,-7.220278,2.44247043828619,0.0578691293034322,1.00097918352626,0.0519807636474169,0.913420595241925,3.1150126776144
-79.21639,-6.825556,3.30350092928157,0.0367364178586636,1.3670865004385,0.0612692403750813,1.22507513978899,5.61017972994683
-78.83028,-7.355833,2.42362314346993,0.0407632229286904,1.93750751521395,0.061165307323303,0.910470929529091,2.46594860264182
-78.62667,-7.033889,2.33984843702858,0.0523642133118676,1.3251889702879,0.0599637538474053,1.11944671049668,3.60270183516838
-78.61694,-6.766944,2.80691576595476,0.0458684427239048,1.18310894161349,0.0573071213603581,1.1824024966345,3.64795899599875
-78.11833,-6.864167,2.32262538925639,0.0431511192009444,1.00097918343094,0.0519807520667899,1.01391393287279,3.11501267369437
-78.05056,-7.626944,2.27615627162262,0.0505703186154976,0.906513423065946,0.0576581462784158,0.822397830949101,3.12484638638577
-78.05083,-7.830278,2.33730492337531,0.0550755488243918,0.906393971616504,0.0842570212483406,0.607492275528469,3.12478476940265
-77.16694,-6.046667,4.75381297231927,0.0469283837449115,1.56573401549173,0.0839155442453921,0.0854,6.17215477196609
-78.83028,-6.999722,2.48260793794703,0.0398945167004221,1.37854610069199,0.0563555209324563,1.99635983034968,3.47499639934943
-78.38944,-7.237222,2.41095106725579,0.0578691293034322,0.910810416384485,0.0489717176988838,0.914249339696228,2.85262793617935
-78.66056,-7.254167,2.99816427651578,0.044089479527095,1.22232068048152,0.0580273149872868,1.05624640325001,3.11501267369437
-79.15322,-7.225028,5.01835513967946,0.0367364179597275,1.17301567699152,0.0592676146249895,1.42302156698248,3.61787835813059
-77.52486,-9.516528,2.45841416277162,0.0513543499069051,1.65773744249554,0.0866908632516745,0.588651949033647,1.76433383789594
-77.45403,-9.729472,2.40599414579321,0.0483793226841316,1.31228665249193,0.0668979624263902,0.594730500954957,2.07547118028587
-77.17553,-9.586333,2.52341698916262,0.0456301314020208,1.36166098337072,0.0584636654300025,0.614611537052772,1.82790669573536
-75.22111,-12.004444,3.95261304031857,0.0616876874237293,1.87440181225894,0.060895712129851,0.56554689369222,2.98326347717769
-75.4794,-11.7831,4.34937151650429,0.065685340849586,1.93477827558632,0.0528126535285264,0.569717653193229,2.97239045090219
-74.86611,-12.393056,5.99327820923546,0.0734063845674622,1.61633734486091,0.064803672515963,0.722672741147424,4.59227766772655
-76.98975,-10.477858,2.19311445235849,0.05604185196084,1.19362868957128,0.082977424130721,0.730142201222883,1.78121941470827
-76.76694,-10.666944,2.38685835903065,0.062286240581511,0.922090125641495,0.0664654421433806,0.630203270352833,2.03636046283336
-76.73361,-10.916944,2.41482034026723,0.0483337332436755,1.15045171336748,0.0640909051150084,0.598852459585848,1.87331206906197
-76.61694,-11.466944,2.29544435440141,0.0507622211234304,1.02330174718829,0.0543302414007485,0.626627460803333,1.78852566129551
-76.37828,-11.839389,2.7521668428819,0.0524963077679675,1.12365070558942,0.0618417549319565,0.955247186046749,2.19483443582548
-75.69028,-11.396944,5.94611842706705,0.0677303299064837,1.53248012055931,0.0627448973432183,0.253020858267565,3.31525065877736
-75.1292,-11.7486,4.34808423902978,0.0881434448928033,1.31291630340626,0.0589033104944974,0.722040786710231,3.79921458428828
-76.25417,-10.694444,2.43786685759226,0.0686131284998477,0.933503452553994,0.0724613200833608,0.685918769145683,2.34470157539822
-71.87528,-13.556944,5.37635608794541,0.0664729735667056,1.50760910867005,0.0695195707399398,0.259697881108616,5.49332189397515
-76.23361,-12.133611,2.88654811006325,0.0531003912009147,1.98647871720711,0.0784860783626964,0.772325957744558,2.10078756551028
